登番,名前漢字,名前カナ,支部,級,年号,生年月日,性別,年齢,身長,体重,血液型,勝率,複勝率,1着回数,2着回数,出走回数,優出回数,優勝回数,平均スタートタイミング,1コース進入回数,1コース複勝率,1コース平均スタートタイミング,1コース平均スタート順位,2コース進入回数,2コース複勝率,2コース平均スタートタイミング,2コース平均スタート順位,3コース進入回数,3コース複勝率,3コース平均スタートタイミング,3コース平均スタート順位,4コース進入回数,4コース複勝率,4コース平均スタートタイミング,4コース平均スタート順位,5コース進入回数,5コース複勝率,5コース平均スタートタイミング,5コース平均スタート順位,6コース進入回数,6コース複勝率,6コース平均スタートタイミング,6コース平均スタート順位,前期級,前々期級,前々々期級,前期能力指数,今期能力指数,年,期,算出期間自,算出期間至,養成期,1コース1着回数,1コース2着回数,1コース3着回数,1コース4着回数,1コース5着回数,1コース6着回数,1コースF回数,1コースL0回数,1コースL1回数,1コースK0回数,1コースK1回数,1コースS0回数,1コースS1回数,1コースS2回数,2コース1着回数,2コース2着回数,2コース3着回数,2コース4着回数,2コース5着回数,2コース6着回数,2コースF回数,2コースL0回数,2コースL1回数,2コースK0回数,2コースK1回数,2コースS0回数,2コースS1回数,2コースS2回数,3コース1着回数,3コース2着回数,3コース3着回数,3コース4着回数,3コース5着回数,3コース6着回数,3コースF回数,3コースL0回数,3コースL1回数,3コースK0回数,3コースK1回数,3コースS0回数,3コースS1回数,3コースS2回数,4コース1着回数,4コース2着回数,4コース3着回数,4コース4着回数,4コース5着回数,4コース6着回数,4コースF回数,4コースL0回数,4コースL1回数,4コースK0回数,4コースK1回数,4コースS0回数,4コースS1回数,4コースS2回数,5コース1着回数,5コース2着回数,5コース3着回数,5コース4着回数,5コース5着回数,5コース6着回数,5コースF回数,5コースL0回数,5コースL1回数,5コースK0回数,5コースK1回数,5コースS0回数,5コースS1回数,5コースS2回数,6コース1着回数,6コース2着回数,6コース3着回数,6コース4着回数,6コース5着回数,6コース6着回数,6コースF回数,6コースL0回数,6コースL1回数,6コースK0回数,6コースK1回数,6コースS0回数,6コースS1回数,6コースS2回数,コースなしL0回数,コースなしL1回数,コースなしK0回数,コースなしK1回数,出身地
2014,高塚清一,タカツカ セイイチ,静岡,B1,S,220307,1,77,164,54,O,3.8,18.2,3,12,82,0,0,0.19,15,46.6,0.15,2.4,14,7.1,0.21,4.2,10,20.0,0.21,4.2,15,20.0,0.19,3.3,17,11.7,0.19,3.5,11,0.0,0.24,5.0,B1,B1,B1,46.0,44.0,2025,1,2024-05-01,2024-10-31,20,1,6,1,4,2,0,1,0,0,0,0,0,0,0,0,1,3,4,0,5,1,0,0,0,0,0,0,0,0,2,0,2,4,2,0,0,0,0,0,0,0,0,2,1,2,3,5,2,0,0,0,0,0,0,0,0,0,2,2,3,6,4,0,0,0,0,0,0,0,0,0,0,1,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,静岡
2538,高橋二朗,タカハシ ジロウ,東京,B1,S,240426,1,75,163,53,AB,3.96,19.1,4,13,89,0,0,0.19,13,38.4,0.21,4.2,19,21.0,0.21,3.9,15,13.3,0.2,3.4,16,12.5,0.17,3.6,17,17.6,0.19,3.6,8,12.5,0.18,4.0,B1,B1,B1,47.0,45.0,2025,1,2024-05-01,2024-10-31,32,2,3,1,3,4,0,0,0,0,0,0,0,0,0,1,3,2,4,6,3,0,0,0,0,0,0,0,0,0,2,4,3,3,3,0,0,0,0,0,0,0,0,0,2,2,3,5,3,1,0,0,0,0,0,0,0,1,2,2,5,4,2,0,0,0,0,0,0,1,0,0,1,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,1,千葉
2878,富山弘幸,トミヤマ ヒロユキ,大阪,A2,S,330621,1,66,163,57,B,5.6,36.0,17,32,136,1,0,0.17,28,67.8,0.18,3.7,25,44.0,0.16,3.6,25,28.0,0.17,3.8,24,33.3,0.17,3.6,19,15.7,0.18,4.1,15,6.6,0.19,4.5,A2,A2,A2,52.0,51.0,2025,1,2024-05-01,2024-10-31,43,9,10,5,2,0,2,0,0,0,0,0,0,0,0,3,8,5,7,2,0,0,0,0,0,0,0,0,0,1,6,7,4,6,1,0,0,0,0,0,0,0,0,2,6,6,5,5,0,0,0,0,0,0,0,0,0,2,1,2,7,5,1,0,0,0,0,0,0,1,0,0,1,3,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,大阪
3024,西島義則,ニシジマ ヨシノリ,広島,A1,S,361030,1,63,166,58,AB,6.85,58.0,50,44,162,7,1,0.16,61,65.5,0.16,3.0,91,52.7,0.16,2.9,6,66.6,0.13,2.7,2,50.0,0.18,3.0,1,100.0,0.19,5.0,1,0.0,0.11,3.0,A1,A1,A1,54.0,54.0,2025,1,2024-05-01,2024-10-31,49,29,11,7,9,3,2,0,0,0,0,0,1,0,0,18,30,10,9,16,7,0,0,0,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,島根
3054,北川幸典,キタガワ ユキノリ,広島,B1,S,380112,1,61,163,57,A,4.76,28.0,10,4,50,0,0,0.18,12,83.3,0.17,3.3,5,40.0,0.21,4.0,7,14.2,0.19,4.1,8,12.5,0.15,3.9,8,0.0,0.18,4.6,9,0.0,0.19,4.6,A2,A2,A2,51.0,46.0,2025,1,2024-05-01,2024-10-31,50,7,3,0,1,0,1,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,1,0,0,0,0,0,0,0,0,1,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,1,0,0,0,2,0,2,5,0,0,0,0,0,0,0,0,0,0,0,1,広島
3070,山室展弘,ヤマムロ ノブヒロ,岡山,B1,S,360608,1,63,167,53,A,4.89,29.6,9,7,54,1,0,0.17,10,70.0,0.14,3.1,21,33.3,0.18,3.7,11,9.0,0.19,4.5,10,10.0,0.15,3.6,2,0.0,0.13,4.0,0,0.0,0.0,0.0,A1,A2,A2,53.0,47.0,2025,1,2024-05-01,2024-10-31,51,5,2,0,1,0,1,1,0,0,0,0,0,0,0,3,4,2,2,6,4,0,0,0,0,0,0,0,0,1,0,2,2,2,4,0,0,0,0,0,0,0,0,0,1,6,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,岡山
3072,西田靖,ニシダ ヤスシ,東京,B1,S,361028,1,63,160,56,B,4.52,24.2,13,11,99,0,0,0.15,20,50.0,0.17,2.6,71,19.7,0.14,3.0,7,0.0,0.19,3.3,0,0.0,0.0,0.0,1,0.0,0.19,5.0,0,0.0,0.0,0.0,A2,B1,B1,51.0,46.0,2025,1,2024-05-01,2024-10-31,51,6,4,1,5,2,2,0,0,0,0,0,0,0,0,7,7,15,10,15,16,1,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,神奈川
3075,中村裕将,ナカムラ ヒロノブ,埼玉,B1,S,370824,1,62,164,54,B,4.42,24.4,9,15,98,0,0,0.15,15,66.6,0.14,2.4,18,38.8,0.17,3.7,17,17.6,0.16,3.8,19,21.0,0.13,3.1,15,0.0,0.16,3.7,14,0.0,0.17,3.9,B1,B1,B1,49.0,47.0,2025,1,2024-05-01,2024-10-31,51,4,6,2,2,1,0,0,0,0,0,0,0,0,0,2,5,2,5,1,3,0,0,0,0,0,0,0,0,1,2,1,3,6,3,1,0,0,0,0,0,0,0,2,2,3,5,5,2,0,0,0,0,0,0,0,0,0,0,3,8,0,4,0,0,0,0,0,0,0,0,0,0,0,2,7,5,0,0,0,0,0,0,0,0,0,0,0,0,埼玉
3081,岡本慎治,オカモト シンジ,山口,B1,S,380713,1,61,160,51,O,4.29,22.7,5,13,79,0,0,0.17,13,61.5,0.16,3.0,12,25.0,0.15,3.2,13,23.0,0.15,3.0,16,18.7,0.18,3.5,16,6.2,0.17,3.4,8,0.0,0.21,5.1,B1,B1,B1,50.0,45.0,2025,1,2024-05-01,2024-10-31,51,5,3,1,1,0,2,0,0,0,0,0,0,1,0,0,3,2,0,6,1,0,0,0,0,0,0,0,0,0,3,4,2,2,2,0,0,0,0,0,0,0,0,0,3,5,3,4,1,0,0,0,0,0,0,0,0,0,1,2,2,6,4,0,0,0,0,0,0,0,1,0,0,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,1,山口
3105,内山文典,ウチヤマ フミノリ,東京,B1,S,380715,1,61,164,54,A,4.84,28.5,9,21,105,1,0,0.17,18,66.6,0.17,3.2,18,22.2,0.18,3.8,16,50.0,0.17,3.8,16,6.2,0.15,3.4,15,6.6,0.18,3.6,22,18.1,0.18,4.3,B1,A2,A2,50.0,48.0,2025,1,2024-05-01,2024-10-31,52,6,6,2,1,1,2,0,0,0,0,0,0,0,0,0,4,4,4,2,4,0,0,0,0,0,0,0,0,2,6,2,2,2,2,0,0,0,0,0,0,0,0,1,0,4,4,3,4,0,0,0,0,0,0,0,0,0,1,5,4,2,2,1,0,0,0,0,0,0,0,0,4,2,6,6,4,0,0,0,0,0,0,0,0,0,0,0,0,東京
