登番,名前漢字,名前カナ,支部,級,年号,生年月日,性別,年齢,身長,体重,血液型,勝率,複勝率,1着回数,2着回数,出走回数,優出回数,優勝回数,平均スタートタイミング,1コース進入回数,1コース複勝率,1コース平均スタートタイミング,1コース平均スタート順位,2コース進入回数,2コース複勝率,2コース平均スタートタイミング,2コース平均スタート順位,3コース進入回数,3コース複勝率,3コース平均スタートタイミング,3コース平均スタート順位,4コース進入回数,4コース複勝率,4コース平均スタートタイミング,4コース平均スタート順位,5コース進入回数,5コース複勝率,5コース平均スタートタイミング,5コース平均スタート順位,6コース進入回数,6コース複勝率,6コース平均スタートタイミング,6コース平均スタート順位,前期級,前々期級,前々々期級,前期能力指数,今期能力指数,年,期,算出期間自,算出期間至,養成期,1コース1着回数,1コース2着回数,1コース3着回数,1コース4着回数,1コース5着回数,1コース6着回数,1コースF回数,1コースL0回数,1コースL1回数,1コースK0回数,1コースK1回数,1コースS0回数,1コースS1回数,1コースS2回数,2コース1着回数,2コース2着回数,2コース3着回数,2コース4着回数,2コース5着回数,2コース6着回数,2コースF回数,2コースL0回数,2コースL1回数,2コースK0回数,2コースK1回数,2コースS0回数,2コースS1回数,2コースS2回数,3コース1着回数,3コース2着回数,3コース3着回数,3コース4着回数,3コース5着回数,3コース6着回数,3コースF回数,3コースL0回数,3コースL1回数,3コースK0回数,3コースK1回数,3コースS0回数,3コースS1回数,3コースS2回数,4コース1着回数,4コース2着回数,4コース3着回数,4コース4着回数,4コース5着回数,4コース6着回数,4コースF回数,4コースL0回数,4コースL1回数,4コースK0回数,4コースK1回数,4コースS0回数,4コースS1回数,4コースS2回数,5コース1着回数,5コース2着回数,5コース3着回数,5コース4着回数,5コース5着回数,5コース6着回数,5コースF回数,5コースL0回数,5コースL1回数,5コースK0回数,5コースK1回数,5コースS0回数,5コースS1回数,5コースS2回数,6コース1着回数,6コース2着回数,6コース3着回数,6コース4着回数,6コース5着回数,6コース6着回数,6コースF回数,6コースL0回数,6コースL1回数,6コースK0回数,6コースK1回数,6コースS0回数,6コースS1回数,6コースS2回数,コースなしL0回数,コースなしL1回数,コースなしK0回数,コースなしK1回数,出身地
2538,高橋二朗,タカハシ ジロウ,東京,B1,S,240426,1,76,163,53,AB,3.27,9.0,1,6,77,0,0,0.21,15,20.0,0.21,4.3,12,8.3,0.18,4.4,14,14.2,0.2,4.6,14,0.0,0.22,4.8,10,0.0,0.2,3.9,12,8.3,0.25,4.9,B1,B1,B1,45.0,43.0,2025,2,2024-11-01,2025-04-30,32,0,3,4,2,5,1,0,0,0,0,0,0,0,0,1,0,1,3,6,1,0,0,0,0,0,0,0,0,0,2,0,2,4,6,0,0,0,0,0,0,0,0,0,0,3,3,4,3,1,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,1,2,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,千葉
2878,富山弘幸,トミヤマ ヒロユキ,大阪,B1,S,330621,1,67,163,55,B,5.4,29.9,19,25,147,1,0,0.18,26,61.5,0.16,2.9,30,33.3,0.18,3.9,26,23.0,0.2,3.8,33,30.3,0.18,3.5,22,9.0,0.19,3.6,10,0.0,0.21,3.9,A2,A2,A2,51.0,51.0,2025,2,2024-11-01,2025-04-30,43,8,8,5,3,2,0,0,0,0,0,0,0,0,0,2,8,8,6,5,1,0,0,0,0,0,0,0,0,3,3,8,7,5,0,0,0,0,0,0,0,0,0,5,5,4,10,6,3,0,0,0,0,0,0,0,0,1,1,4,9,6,1,0,0,0,0,0,0,0,0,0,0,2,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,大阪
3024,西島義則,ニシジマ ヨシノリ,広島,A1,S,361030,1,63,166,58,AB,6.83,59.0,48,24,122,4,1,0.16,40,77.5,0.15,2.9,80,51.2,0.17,2.8,2,0.0,0.3,5.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,A1,A1,A1,54.0,53.0,2025,2,2024-11-01,2025-04-30,49,26,5,2,2,2,1,2,0,0,0,0,0,0,0,22,19,11,7,7,11,0,0,0,0,0,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,島根
3054,北川幸典,キタガワ ユキノリ,広島,B1,S,380112,1,62,163,57,A,5.12,33.7,16,10,77,1,0,0.17,12,50.0,0.2,3.5,10,50.0,0.15,3.1,20,40.0,0.15,2.8,14,14.2,0.19,2.9,15,33.3,0.16,2.9,6,0.0,0.19,5.0,B1,A2,A2,46.0,48.0,2025,2,2024-11-01,2025-04-30,50,5,1,3,1,2,0,0,0,0,0,0,0,0,0,0,5,0,3,2,0,0,0,0,0,0,0,0,0,6,2,3,1,3,4,0,0,0,0,0,0,1,0,2,0,4,2,3,3,0,0,0,0,0,0,0,0,3,2,2,1,3,4,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,広島
3070,山室展弘,ヤマムロ ノブヒロ,岡山,B2,S,360608,1,64,167,53,A,5.93,40.7,7,4,27,1,0,0.15,6,83.3,0.16,1.6,9,55.5,0.12,3.1,10,10.0,0.18,3.7,2,0.0,0.14,4.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,B1,A1,A2,47.0,50.0,2025,2,2024-11-01,2025-04-30,51,4,1,1,0,0,0,0,0,0,0,0,1,0,0,2,3,1,1,1,0,0,0,0,0,0,0,1,0,1,0,2,3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,岡山
3072,西田靖,ニシダ ヤスシ,東京,B1,S,361028,1,63,160,56,B,4.32,25.5,10,15,98,0,0,0.18,16,56.2,0.17,2.6,72,22.2,0.18,3.4,10,0.0,0.22,4.7,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,B1,A2,B1,46.0,46.0,2025,2,2024-11-01,2025-04-30,51,8,1,2,2,1,2,0,0,0,0,0,0,0,0,2,14,10,9,24,13,0,0,0,0,0,0,0,0,0,0,1,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,神奈川
3075,中村裕将,ナカムラ ヒロノブ,埼玉,B1,S,370824,1,62,164,54,B,5.01,28.8,15,15,104,2,0,0.16,16,75.0,0.15,2.5,18,22.2,0.19,4.0,21,19.0,0.15,3.1,14,35.7,0.17,3.1,14,14.2,0.18,3.6,21,14.2,0.15,2.9,B1,B1,B1,47.0,49.0,2025,2,2024-11-01,2025-04-30,51,7,5,1,0,2,1,0,0,0,0,0,1,0,0,2,2,7,4,2,1,0,0,0,0,0,0,0,0,2,2,6,4,4,2,0,0,0,0,0,1,1,0,2,3,4,2,1,2,0,0,0,0,0,0,0,0,1,1,0,5,3,4,0,0,0,0,0,0,0,0,1,2,2,3,8,5,0,0,0,0,0,0,0,0,0,0,0,0,埼玉
3081,岡本慎治,オカモト シンジ,山口,A2,S,380713,1,61,160,51,O,5.63,37.2,14,18,86,0,0,0.17,13,61.5,0.15,2.9,16,50.0,0.17,3.8,15,46.6,0.16,3.5,15,33.3,0.18,3.5,12,25.0,0.18,3.2,15,6.6,0.19,4.5,B1,B1,B1,45.0,51.0,2025,2,2024-11-01,2025-04-30,51,5,3,3,1,0,1,0,0,0,0,0,0,0,0,3,5,4,1,1,2,0,0,0,0,0,0,0,0,2,5,4,2,2,0,0,0,0,0,0,0,0,0,3,2,4,5,0,1,0,0,0,0,0,0,0,0,1,2,2,2,2,3,0,0,0,0,0,0,0,0,0,1,1,4,6,3,0,0,0,0,0,0,0,0,0,0,0,0,山口
3105,内山文典,ウチヤマ フミノリ,東京,B1,S,380715,1,61,164,57,A,4.9,29.1,14,14,96,0,0,0.17,16,75.0,0.16,2.8,15,13.3,0.15,2.9,16,37.5,0.2,3.4,18,11.1,0.16,3.3,22,27.2,0.15,3.4,8,0.0,0.17,3.5,B1,B1,A2,48.0,48.0,2025,2,2024-11-01,2025-04-30,52,9,3,3,0,0,1,0,0,0,0,0,0,0,0,2,0,3,6,1,3,0,0,0,0,0,0,0,0,2,4,3,3,2,2,0,0,0,0,0,0,0,0,0,2,2,3,7,4,0,0,0,0,0,0,0,0,1,5,4,2,5,5,0,0,0,0,0,0,0,0,0,0,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,1,東京
3107,平岡重典,ヒラオカ シゲノリ,大阪,B1,S,381116,1,61,163,51,A,4.42,19.1,5,9,73,0,0,0.19,11,27.2,0.2,3.9,14,21.4,0.21,4.2,14,14.2,0.17,2.9,11,27.2,0.2,3.2,13,23.0,0.18,3.5,10,0.0,0.16,3.2,B1,B1,B1,48.0,48.0,2025,2,2024-11-01,2025-04-30,52,0,3,1,3,3,1,0,0,0,0,0,0,0,0,1,2,2,4,5,0,0,0,0,0,0,0,0,0,2,0,6,4,0,2,0,0,0,0,0,0,0,0,2,1,2,1,5,0,0,0,0,0,0,0,0,0,0,3,1,7,0,2,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,大阪
