登番,名前漢字,名前カナ,支部,級,年号,生年月日,性別,年齢,身長,体重,血液型,勝率,複勝率,1着回数,2着回数,出走回数,優出回数,優勝回数,平均スタートタイミング,1コース進入回数,1コース複勝率,1コース平均スタートタイミング,1コース平均スタート順位,2コース進入回数,2コース複勝率,2コース平均スタートタイミング,2コース平均スタート順位,3コース進入回数,3コース複勝率,3コース平均スタートタイミング,3コース平均スタート順位,4コース進入回数,4コース複勝率,4コース平均スタートタイミング,4コース平均スタート順位,5コース進入回数,5コース複勝率,5コース平均スタートタイミング,5コース平均スタート順位,6コース進入回数,6コース複勝率,6コース平均スタートタイミング,6コース平均スタート順位,前期級,前々期級,前々々期級,前期能力指数,今期能力指数,年,期,算出期間自,算出期間至,養成期,1コース1着回数,1コース2着回数,1コース3着回数,1コース4着回数,1コース5着回数,1コース6着回数,1コースF回数,1コースL0回数,1コースL1回数,1コースK0回数,1コースK1回数,1コースS0回数,1コースS1回数,1コースS2回数,2コース1着回数,2コース2着回数,2コース3着回数,2コース4着回数,2コース5着回数,2コース6着回数,2コースF回数,2コースL0回数,2コースL1回数,2コースK0回数,2コースK1回数,2コースS0回数,2コースS1回数,2コースS2回数,3コース1着回数,3コース2着回数,3コース3着回数,3コース4着回数,3コース5着回数,3コース6着回数,3コースF回数,3コースL0回数,3コースL1回数,3コースK0回数,3コースK1回数,3コースS0回数,3コースS1回数,3コースS2回数,4コース1着回数,4コース2着回数,4コース3着回数,4コース4着回数,4コース5着回数,4コース6着回数,4コースF回数,4コースL0回数,4コースL1回数,4コースK0回数,4コースK1回数,4コースS0回数,4コースS1回数,4コースS2回数,5コース1着回数,5コース2着回数,5コース3着回数,5コース4着回数,5コース5着回数,5コース6着回数,5コースF回数,5コースL0回数,5コースL1回数,5コースK0回数,5コースK1回数,5コースS0回数,5コースS1回数,5コースS2回数,6コース1着回数,6コース2着回数,6コース3着回数,6コース4着回数,6コース5着回数,6コース6着回数,6コースF回数,6コースL0回数,6コースL1回数,6コースK0回数,6コースK1回数,6コースS0回数,6コースS1回数,6コースS2回数,コースなしL0回数,コースなしL1回数,コースなしK0回数,コースなしK1回数,出身地
2014,高塚 清一,タカツカ セイイチ,静岡,B1,S,220307,1,75,165,54,O,4.61,23.9,10,12,92,1,0,0.16,16,50.0,0.15,2.9,17,17.6,0.15,3.5,12,25.0,0.15,3.1,14,35.7,0.17,2.9,16,6.2,0.14,3.2,17,11.7,0.18,4.4,B1,B1,B1,47.0,48.0,2023,1,2022-05-01,2022-10-31,20,6,2,2,2,3,1,0,0,0,0,0,0,0,0,0,3,3,6,1,4,0,0,0,0,0,0,0,0,2,1,2,4,2,1,0,0,0,0,0,0,0,0,2,3,3,2,3,1,0,0,0,0,0,0,0,0,0,1,4,5,3,3,0,0,0,0,0,0,0,0,0,2,1,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,静岡
2538,高橋 二朗,タカハシ ジロウ,東京,B1,S,240426,1,73,164,54,AB,4.24,17.9,2,17,106,0,0,0.18,17,29.4,0.15,3.5,20,30.0,0.17,3.6,22,18.1,0.2,3.6,19,5.2,0.19,3.7,20,15.0,0.17,3.7,8,0.0,0.26,5.1,B1,B1,B1,48.0,47.0,2023,1,2022-05-01,2022-10-31,32,1,4,3,4,3,1,0,0,0,0,0,0,0,1,1,5,4,6,4,0,0,0,0,0,0,0,0,0,0,4,7,3,4,4,0,0,0,0,0,0,0,0,0,1,4,4,6,4,0,0,0,0,0,0,0,0,0,3,4,6,4,3,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,千葉
2876,鈴木 幸夫,スズキ ユキオ,愛知,B1,S,320810,1,65,162,50,AB,4.54,27.7,15,13,101,1,0,0.17,40,47.5,0.17,2.8,59,15.2,0.18,3.5,2,0.0,0.19,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,B1,B1,B1,48.0,47.0,2023,1,2022-05-01,2022-10-31,43,10,9,2,6,5,8,0,0,0,0,0,0,0,0,5,4,8,13,15,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,愛知
2878,富山 弘幸,トミヤマ ヒロユキ,大阪,A2,S,330621,1,64,163,56,B,5.87,33.3,24,21,135,2,0,0.17,25,64.0,0.17,3.9,28,35.7,0.18,3.9,22,22.7,0.18,4.1,23,34.7,0.15,3.4,22,22.7,0.15,3.1,15,6.6,0.24,4.5,A2,A2,A2,51.0,52.0,2023,1,2022-05-01,2022-10-31,43,13,3,6,1,1,0,0,0,0,0,0,0,1,0,3,7,7,6,3,2,0,0,0,0,0,0,0,0,2,3,10,4,1,2,0,0,0,0,0,0,0,0,4,4,8,3,2,1,1,0,0,0,0,0,0,0,2,3,6,7,1,3,0,0,0,0,0,0,0,0,0,1,3,7,2,2,0,0,0,0,0,0,0,0,0,0,1,0,大阪
2903,山崎 毅,ヤマサキ タケシ,福岡,B1,S,340703,1,63,159,49,A,4.65,28.7,5,18,80,0,0,0.17,12,50.0,0.16,3.1,21,33.3,0.15,3.4,19,26.3,0.16,3.6,11,36.3,0.21,4.2,11,9.0,0.15,3.0,6,0.0,0.21,4.0,B1,B1,B1,48.0,48.0,2023,1,2022-05-01,2022-10-31,44,2,4,3,1,0,2,0,0,0,0,0,0,0,0,1,6,2,2,6,4,0,0,0,0,0,0,0,0,0,5,4,2,7,1,0,0,0,0,0,0,0,0,2,2,1,1,3,2,0,0,0,0,0,0,0,0,0,1,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,熊本
2930,新良 一規,シンラ カズノリ,山口,B1,S,310810,1,66,163,51,O,5.18,32.4,13,11,74,1,0,0.19,17,70.5,0.15,2.6,12,25.0,0.2,4.3,13,30.7,0.19,3.2,11,18.1,0.24,4.1,16,12.5,0.2,4.0,5,20.0,0.19,3.6,B1,A2,A2,49.0,49.0,2023,1,2022-05-01,2022-10-31,46,11,1,1,3,0,1,0,0,0,0,0,0,0,0,0,3,2,1,2,4,0,0,0,0,0,0,0,0,1,3,4,4,1,0,0,0,0,0,0,0,0,0,1,1,4,0,0,5,0,0,0,0,0,0,0,0,0,2,1,6,3,4,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,山口
3022,西山 昇一,ニシヤマ シヨウイチ,愛知,A2,S,351009,1,62,168,53,B,5.92,40.6,23,27,123,2,0,0.16,22,86.3,0.14,2.4,24,45.8,0.14,2.9,14,42.8,0.15,2.7,19,26.3,0.15,2.8,26,19.2,0.18,3.9,18,22.2,0.19,3.9,A1,A1,A1,52.0,51.0,2023,1,2022-05-01,2022-10-31,49,16,3,2,0,0,0,1,0,0,0,0,0,0,0,1,10,4,3,3,2,0,0,0,0,0,0,0,1,3,3,3,2,2,1,0,0,0,0,0,0,0,0,2,3,5,4,4,1,0,0,0,0,0,0,0,0,0,5,8,6,4,3,0,0,0,0,0,0,0,0,1,3,4,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,愛知
3024,西島 義則,ニシジマ ヨシノリ,広島,A1,S,361030,1,61,166,59,AB,6.94,59.6,44,46,151,5,2,0.17,44,84.0,0.17,3.3,96,52.0,0.16,3.3,3,33.3,0.18,2.7,4,50.0,0.15,3.5,2,0.0,0.23,6.0,2,0.0,0.28,5.0,A1,A1,A1,58.0,56.0,2023,1,2022-05-01,2022-10-31,49,27,10,1,3,0,2,1,0,0,0,0,0,0,0,17,33,15,10,13,7,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,島根
3025,山口 哲治,ヤマグチ テツジ,長崎,B1,S,370108,1,60,160,52,B,3.86,17.8,4,9,73,0,0,0.22,13,53.8,0.18,2.8,9,11.1,0.21,4.4,16,18.7,0.23,4.6,16,12.5,0.21,4.3,8,0.0,0.22,4.6,11,0.0,0.26,4.5,B1,B1,B1,45.0,45.0,2023,1,2022-05-01,2022-10-31,49,3,4,1,2,1,1,1,0,0,0,0,1,0,0,1,0,2,1,4,1,0,0,0,0,0,0,0,0,0,3,1,5,4,3,0,0,0,0,0,0,0,0,0,2,2,7,4,1,0,0,0,0,0,0,0,0,0,0,1,2,2,3,0,0,0,0,0,1,0,0,0,0,0,2,4,5,0,0,0,0,0,0,0,0,0,0,1,0,長崎
3036,吉本 正昭,ヨシモト マサアキ,山口,B1,S,330410,1,64,163,58,B,4.49,20.2,7,8,74,0,0,0.17,10,50.0,0.17,3.9,12,16.6,0.15,3.5,15,33.3,0.17,2.9,11,27.2,0.16,3.0,15,0.0,0.19,3.6,11,0.0,0.18,4.2,B1,B1,B1,46.0,47.0,2023,1,2022-05-01,2022-10-31,50,2,3,2,2,0,0,0,0,0,0,0,0,1,0,1,1,5,1,3,1,0,0,0,0,0,0,0,0,3,2,4,5,0,1,0,0,0,0,0,0,0,0,1,2,2,3,1,2,0,0,0,0,0,0,0,0,0,0,1,4,6,3,1,0,0,0,0,0,0,0,0,0,1,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,山口
