レースID,枠番,級別,レース内全国勝率差,レース内コース別1着率差,レース内コース別複勝率差,1着フラグ
202501012401,1,1,1.117,0.4,40.383,1
202501012401,2,1,0.667,-0.039,27.583,0
202501012401,3,1,0.427,-0.046,-5.217,0
202501012401,4,1,0.007,-0.064,-2.017,0
202501012401,5,1,-1.933,-0.126,-27.517,0
202501012401,6,1,-0.283,-0.126,-33.217,0
202501012402,1,1,-0.027,0.222,30.3,0
202501012402,2,2,0.613,-0.02,15.7,1
202501012402,3,2,1.263,0.049,22.3,0
202501012402,4,1,-0.757,-0.028,-8.9,0
202501012402,5,1,-0.497,-0.111,-29.7,0
202501012402,6,1,-0.597,-0.111,-29.7,0
202501012403,1,1,-0.56,0.186,20.517,1
202501012403,2,2,1.59,0.126,20.517,0
202501012403,3,1,-0.04,0.041,8.017,0
202501012403,4,1,-0.52,-0.148,-16.183,0
202501012403,5,0,-2.41,-0.148,-16.983,0
202501012403,6,3,1.94,-0.056,-15.883,0
202501012404,1,1,-0.655,0.244,27.95,0
202501012404,2,1,-0.565,0.011,1.25,0
202501012404,3,1,-0.215,0.082,20.25,1
202501012404,4,1,0.115,-0.1,1.25,0
202501012404,5,3,1.965,-0.079,-24.45,0
202501012404,6,1,-0.645,-0.156,-26.25,0
202501012405,1,1,-0.542,0.193,19.683,0
202501012405,2,0,-1.942,-0.16,-7.317,0
202501012405,3,3,1.758,0.14,22.683,1
202501012405,4,2,1.358,-0.012,-1.417,0
202501012405,5,1,-0.542,-0.002,-6.317,0
202501012405,6,1,-0.092,-0.16,-27.317,0
202501012406,1,1,-0.525,0.61,49.85,0
202501012406,2,1,-0.475,-0.121,-17.35,0
202501012406,3,2,1.315,-0.132,18.55,0
202501012406,4,1,-1.385,-0.132,-19.55,0
202501012406,5,3,2.345,-0.047,-2.45,1
202501012406,6,1,-1.275,-0.18,-29.05,0
202501012407,1,2,0.845,0.372,40.867,0
202501012407,2,1,-0.645,-0.08,-17.933,0
202501012407,3,3,1.685,-0.046,34.467,1
202501012407,4,1,-0.745,-0.028,-17.133,0
202501012407,5,1,0.335,-0.088,-8.133,0
202501012407,6,1,-1.475,-0.128,-32.133,0
202501012408,1,1,-0.59,0.293,31.633,1
202501012408,2,2,0.89,-0.077,2.633,0
202501012408,3,1,-0.27,-0.086,2.433,0
202501012408,4,3,0.95,0.142,11.833,0
202501012408,5,1,-0.46,-0.136,-15.967,0
