予測勝敗,勝敗,年,月,日,レース場番号,レース番号,着順,枠番,選手登番,年齢,体重,級別,全国勝率,モーター2連率,ボート2連率,コース別複勝率,コース別平均スタート順位,コース別1着回数,コース別2着回数
1,1,2025,7,14,22,1,2.0,1,4240,41,45,A1,6.14,29.85,37.5,87.5,2.4,16.0,5.0
0,1,2025,7,14,22,1,1.0,2,5317,24,46,B1,3.55,28.17,35.29,0.0,6.0,0.0,0.0
0,0,2025,7,14,22,1,3.0,3,4349,39,50,B1,4.91,28.24,20.37,26.6,2.8,1.0,3.0
0,0,2025,7,14,22,1,4.0,4,5078,27,46,B1,4.8,42.25,38.57,40.0,4.5,1.0,3.0
0,0,2025,7,14,22,1,5.0,5,5144,24,46,B1,4.25,38.16,20.31,13.3,4.0,0.0,2.0
0,0,2025,7,14,22,1,6.0,6,4317,40,48,B1,4.06,22.81,38.67,0.0,3.6,0.0,0.0
0,1,2025,7,14,22,2,2.0,1,3704,51,48,B1,3.75,28.75,30.91,25.0,4.6,1.0,1.0
0,1,2025,7,14,22,2,1.0,2,4447,38,49,A2,6.23,38.82,44.62,41.1,2.7,4.0,3.0
0,0,2025,7,14,22,2,5.0,3,4045,45,47,B1,4.69,33.82,30.51,31.5,2.2,3.0,3.0
0,0,2025,7,14,22,2,4.0,4,4478,37,48,A2,6.4,31.08,30.65,25.0,3.3,0.0,3.0
0,0,2025,7,14,22,2,3.0,5,4484,34,50,B1,4.76,32.47,27.94,5.2,4.1,0.0,1.0
0,0,2025,7,14,22,2,6.0,6,5195,23,44,B1,5.04,31.25,42.19,0.0,3.6,0.0,0.0
0,0,2025,7,14,22,3,5.0,1,5250,23,45,B1,3.42,40.35,33.82,0.0,4.8,0.0,0.0
0,0,2025,7,14,22,3,3.0,2,3994,46,46,B1,5.1,36.78,36.36,38.8,3.8,1.0,6.0
1,1,2025,7,14,22,3,1.0,3,5193,23,46,A2,6.29,43.08,35.48,72.7,2.9,4.0,4.0
0,0,2025,7,14,22,3,4.0,4,5296,23,46,B1,4.23,44.62,19.23,13.6,4.0,0.0,3.0
0,1,2025,7,14,22,3,2.0,5,5340,23,45,B1,2.95,36.0,33.33,6.0,4.8,1.0,1.0
0,0,2025,7,14,22,3,6.0,6,3518,57,48,B1,4.34,39.39,35.38,10.0,4.7,0.0,1.0
1,1,2025,7,14,22,4,2.0,1,3551,53,44,B1,4.2,29.41,30.88,60.0,4.2,4.0,2.0
0,0,2025,7,14,22,4,4.0,2,4014,45,47,A2,5.78,38.98,37.66,37.5,3.1,1.0,5.0
0,1,2025,7,14,22,4,1.0,3,3845,48,45,A2,6.43,43.48,41.79,36.3,3.4,4.0,4.0
0,0,2025,7,14,22,4,6.0,4,5335,20,47,B1,2.78,28.4,27.42,7.6,4.8,0.0,2.0
