予測勝敗,勝敗,年,月,日,レース場番号,レース番号,着順,枠番,選手登番,年齢,体重,級別,全国勝率,モーター2連率,ボート2連率,コース別複勝率,コース別平均スタート順位,コース別1着回数,コース別2着回数,1着回数,2着回数
1,,2025,7,17,24,1,,1,5017,26,51,A1,6.92,38.89,63.64,82.7,3.1,18.0,6.0,36.0,30.0
0,,2025,7,17,24,1,,2,4533,36,50,A2,5.3,23.53,20.0,30.0,3.3,1.0,2.0,20.0,18.0
0,,2025,7,17,24,1,,3,5055,29,53,A2,5.83,33.33,21.43,34.7,2.6,5.0,3.0,24.0,22.0
0,,2025,7,17,24,1,,4,4189,44,56,A2,6.36,29.41,52.17,30.4,4.0,1.0,6.0,39.0,32.0
0,,2025,7,17,24,1,,5,4645,45,52,A2,6.37,46.15,33.33,22.2,2.7,1.0,3.0,28.0,20.0
0,,2025,7,17,24,1,,6,5145,22,54,A2,5.46,33.33,50.0,6.6,4.1,1.0,0.0,30.0,20.0
1,,2025,7,17,24,2,,1,4930,29,53,A2,6.03,61.11,71.43,82.3,2.6,13.0,1.0,28.0,18.0
0,,2025,7,17,24,2,,2,4352,39,52,A1,6.49,53.33,34.78,40.0,3.2,1.0,5.0,20.0,22.0
0,,2025,7,17,24,2,,3,4931,29,53,A2,5.81,73.68,19.05,40.0,3.2,3.0,5.0,24.0,20.0
0,,2025,7,17,24,2,,4,4816,34,55,A2,5.85,25.0,34.78,50.0,3.0,3.0,4.0,29.0,23.0
0,,2025,7,17,24,2,,5,5226,23,53,A2,5.82,50.0,37.5,23.5,2.8,2.0,2.0,27.0,25.0
0,,2025,7,17,24,2,,6,4788,36,54,A1,6.17,33.33,27.27,12.0,4.0,2.0,1.0,35.0,28.0
1,,2025,7,17,24,3,,1,4298,42,54,A2,5.76,35.71,37.5,81.8,2.4,10.0,8.0,20.0,29.0
1,,2025,7,17,24,3,,2,4961,28,47,A1,6.96,0.0,57.14,68.4,3.1,5.0,8.0,24.0,26.0
1,,2025,7,17,24,3,,3,4072,44,52,A1,6.88,41.67,47.83,50.0,2.8,5.0,5.0,42.0,21.0
1,,2025,7,17,24,3,,4,3721,49,53,A1,7.62,26.67,37.5,62.5,2.3,1.0,14.0,36.0,29.0
0,,2025,7,17,24,3,,5,5034,27,56,A1,6.47,42.86,41.18,31.8,3.6,0.0,7.0,36.0,22.0
0,,2025,7,17,24,3,,6,4470,38,54,A2,6.83,42.86,33.33,16.6,3.3,1.0,3.0,37.0,32.0
1,,2025,7,17,24,4,,1,4441,38,54,A1,6.12,26.67,18.75,76.9,2.9,16.0,4.0,30.0,26.0
1,,2025,7,17,24,4,,2,4985,28,51,A1,6.98,25.0,37.5,58.3,2.4,6.0,8.0,47.0,34.0
