予測勝敗,勝敗,年,月,日,レース場番号,レース番号,着順,枠番,選手登番,年齢,体重,級別,全国勝率,モーター2連率,ボート2連率,コース別複勝率,コース別平均スタート順位,コース別1着回数,コース別2着回数
1,,2025,7,14,4,1,,1,4750,38,52,B1,4.87,70.59,25.93,56.2,3.1,5.0,4.0
0,,2025,7,14,4,1,,2,4864,35,54,B1,4.0,33.33,22.73,33.3,3.1,0.0,5.0
0,,2025,7,14,4,1,,3,3904,48,55,B1,5.35,39.13,58.82,30.0,3.3,4.0,2.0
0,,2025,7,14,4,1,,4,4202,42,54,B1,4.32,41.18,23.53,20.0,4.1,1.0,3.0
0,,2025,7,14,4,1,,5,4809,36,52,A2,6.36,26.09,18.75,58.8,3.2,5.0,5.0
0,,2025,7,14,4,1,,6,5411,19,58,B2,1.14,58.82,16.67,0.0,0.0,0.0,0.0
1,,2025,7,14,4,2,,1,4305,41,52,A1,7.0,12.5,6.67,95.8,2.9,14.0,9.0
0,,2025,7,14,4,2,,2,4097,43,57,B1,3.88,40.91,35.29,16.6,4.1,0.0,3.0
0,,2025,7,14,4,2,,3,5266,25,53,B2,2.88,41.67,26.09,0.0,3.4,0.0,0.0
0,,2025,7,14,4,2,,4,4421,37,57,B1,4.29,31.58,0.0,10.0,3.9,1.0,0.0
0,,2025,7,14,4,2,,5,5298,23,51,B1,5.94,35.0,56.25,37.5,2.3,2.0,1.0
0,,2025,7,14,4,2,,6,5127,28,50,B1,4.58,47.06,52.17,0.0,4.4,0.0,0.0
1,,2025,7,14,4,3,,1,4274,42,51,B1,4.66,22.22,33.33,66.6,2.9,4.0,6.0
0,,2025,7,14,4,3,,2,5179,28,53,B1,4.19,41.67,22.73,11.1,3.5,0.0,2.0
0,,2025,7,14,4,3,,3,4991,27,52,A2,5.55,17.39,30.43,36.8,3.2,4.0,3.0
0,,2025,7,14,4,3,,4,4000,48,56,A2,5.81,39.13,44.44,11.1,3.8,0.0,3.0
0,,2025,7,14,4,3,,5,4348,39,54,A2,6.44,12.5,26.92,9.5,3.9,0.0,2.0
0,,2025,7,14,4,3,,6,5402,22,55,B2,1.39,42.11,47.06,0.0,0.0,0.0,0.0
0,,2025,7,14,4,4,,1,5177,29,51,B1,3.48,29.17,44.44,12.5,3.5,1.0,0.0
1,,2025,7,14,4,4,,2,4089,44,55,A2,5.95,59.26,40.0,52.3,2.4,5.0,6.0
0,,2025,7,14,4,4,,3,4902,32,52,B1,4.97,25.0,54.55,30.0,3.3,2.0,4.0
0,,2025,7,14,4,4,,4,3825,52,60,B1,4.05,36.0,25.0,35.0,2.3,5.0,2.0
0,,2025,7,14,4,4,,5,4416,38,56,B1,5.22,40.0,42.86,25.0,3.4,1.0,5.0
0,,2025,7,14,4,4,,6,3623,51,50,A1,7.16,9.52,26.09,0.0,0.0,0.0,0.0
1,,2025,7,14,4,5,,1,3516,57,51,B1,4.43,34.78,36.0,50.0,3.2,3.0,4.0
0,,2025,7,14,4,5,,2,4750,38,52,B1,4.87,70.59,25.93,19.0,3.7,3.0,1.0
0,,2025,7,14,4,5,,3,4219,43,55,B1,3.99,29.41,28.57,0.0,3.3,0.0,0.0
0,,2025,7,14,4,5,,4,4769,33,52,A2,5.65,33.33,18.75,26.6,2.5,3.0,1.0
0,,2025,7,14,4,5,,5,4528,36,53,A1,6.55,33.33,27.27,32.1,3.7,4.0,5.0
0,,2025,7,14,4,5,,6,4724,39,54,B1,3.88,20.83,28.57,0.0,4.1,0.0,0.0
1,,2025,7,14,4,6,,1,4708,36,56,B1,4.39,27.78,52.0,50.0,3.8,5.0,4.0
