予測勝敗,勝敗,年,月,日,レース場番号,レース番号,着順,枠番,選手登番,年齢,体重,級別,全国勝率,モーター2連率,ボート2連率,コース別複勝率,コース別平均スタート順位,コース別1着回数,コース別2着回数
0,,2025,7,13,4,1,,1,4097,43,57,B1,3.88,40.91,35.29,20.0,3.8,1.0,1.0
0,,2025,7,13,4,1,,2,5177,29,51,B1,3.48,29.17,44.44,23.8,4.3,0.0,5.0
0,,2025,7,13,4,1,,3,4769,33,52,A2,5.65,33.33,18.75,13.3,2.0,0.0,2.0
0,,2025,7,13,4,1,,4,4019,45,53,A1,6.78,41.18,47.06,31.2,3.7,3.0,2.0
0,,2025,7,13,4,1,,5,4229,42,53,B1,4.46,18.75,14.29,10.5,4.6,0.0,2.0
0,,2025,7,13,4,1,,6,4619,42,52,B1,5.15,35.0,30.43,18.7,4.1,1.0,2.0
0 - 0 + 0 = 0

1,,2025,7,13,4,2,,1,4305,41,52,A1,7.0,12.5,6.67,95.8,2.9,14.0,9.0
0,,2025,7,13,4,2,,2,3904,48,55,B1,5.35,39.13,58.82,50.0,3.5,3.0,7.0
0,,2025,7,13,4,2,,3,4550,36,57,B1,5.44,33.33,29.17,43.4,2.8,3.0,7.0
0,,2025,7,13,4,2,,4,3516,57,51,B1,4.43,34.78,36.0,27.7,3.1,4.0,1.0
0,,2025,7,13,4,2,,5,4708,36,56,B1,4.39,27.78,52.0,8.7,3.2,0.0,2.0
0,,2025,7,13,4,2,,6,4196,43,53,B1,5.37,28.0,17.24,9.0,3.6,0.0,1.0
0 - 300 + 3*100 = 0

1,,2025,7,13,4,3,,1,4202,42,54,B1,4.32,41.18,23.53,55.5,2.3,6.0,4.0
0,,2025,7,13,4,3,,2,4371,38,52,A1,6.48,20.0,12.5,33.3,3.4,4.0,1.0
0,,2025,7,13,4,3,,3,4133,45,53,A2,5.98,44.44,46.43,34.7,3.3,3.0,5.0
0,,2025,7,13,4,3,,4,5179,28,53,B1,4.19,41.67,22.73,5.8,2.9,0.0,1.0
0,,2025,7,13,4,3,,5,4000,48,56,A2,5.81,39.13,44.44,15.3,3.3,1.0,3.0
0,,2025,7,13,4,3,,6,5411,19,58,B2,1.14,58.82,16.67,0.0,0.0,0.0,0.0
0 - 300 + 3*420 = 960

1,,2025,7,13,4,4,,1,4724,39,54,B1,3.88,20.83,28.57,70.0,3.1,1.0,6.0
0,,2025,7,13,4,4,,2,4416,38,56,B1,5.22,40.0,42.86,27.7,3.3,2.0,3.0
1,,2025,7,13,4,4,,3,4012,45,59,A2,5.85,42.31,37.5,57.1,2.4,2.0,6.0
0,,2025,7,13,4,4,,4,3811,49,56,A2,6.06,29.41,26.09,33.3,3.1,4.0,3.0
0,,2025,7,13,4,4,,5,5266,25,53,B2,2.88,41.67,26.09,14.2,4.2,0.0,1.0
0,,2025,7,13,4,4,,6,3623,51,50,A1,7.16,9.52,26.09,0.0,0.0,0.0,0.0
960 - 600 + 300 = 660円

1,,2025,7,13,4,5,,1,5298,23,51,B1,5.94,35.0,56.25,80.0,4.3,4.0,4.0
0,,2025,7,13,4,5,,2,3825,52,60,B1,4.05,36.0,25.0,4.7,2.6,1.0,0.0
1,,2025,7,13,4,5,,3,4366,39,56,A1,6.31,35.29,9.09,46.4,2.3,6.0,7.0
0,,2025,7,13,4,5,,4,4809,36,52,A2,6.36,26.09,18.75,29.4,2.3,0.0,5.0
0,,2025,7,13,4,5,,5,4274,42,51,B1,4.66,22.22,33.33,21.0,3.2,2.0,2.0
0,,2025,7,13,4,5,,6,4952,31,54,B1,4.02,25.0,38.89,8.3,4.5,0.0,1.0
660 - 600 + 3*260 = 840

1,,2025,7,13,4,6,,1,4864,35,54,B1,4.0,33.33,22.73,50.0,2.8,2.0,4.0
1,,2025,7,13,4,6,,2,3541,57,53,A1,6.67,41.18,43.75,76.4,2.4,7.0,6.0
0,,2025,7,13,4,6,,3,4619,42,52,B1,5.15,35.0,30.43,27.7,3.9,1.0,4.0
0,,2025,7,13,4,6,,4,4089,44,55,A2,5.95,59.26,40.0,15.0,2.9,0.0,3.0
0,,2025,7,13,4,6,,5,3986,47,55,B1,5.08,23.53,27.27,5.2,3.7,0.0,1.0
0,,2025,7,13,4,6,,6,4219,43,55,B1,3.99,29.41,28.57,0.0,4.4,0.0,0.0
840 - 600 + 3*330 = 1230

0,,2025,7,13,4,7,,1,4421,37,57,B1,4.29,31.58,0.0,50.0,2.6,1.0,4.0
1,,2025,7,13,4,7,,2,4019,45,53,A1,6.78,41.18,47.06,56.2,3.6,3.0,6.0
0,,2025,7,13,4,7,,3,3516,57,51,B1,4.43,34.78,36.0,26.3,3.8,1.0,4.0
0,,2025,7,13,4,7,,4,4902,32,52,B1,4.97,25.0,54.55,26.3,4.2,2.0,3.0
0,,2025,7,13,4,7,,5,4308,41,51,A2,6.2,18.18,20.0,25.0,4.3,0.0,5.0
0,,2025,7,13,4,7,,6,5402,22,55,B2,1.39,42.11,47.06,0.0,0.0,0.0,0.0
1230 - 300 + 3*300 = 1830

1,,2025,7,13,4,8,,1,4348,39,54,A2,6.44,12.5,26.92,96.5,2.8,21.0,7.0
0,,2025,7,13,4,8,,2,4550,36,57,B1,5.44,33.33,29.17,26.3,3.2,3.0,2.0
0,,2025,7,13,4,8,,3,5127,28,50,B1,4.58,47.06,52.17,22.7,4.0,0.0,5.0
1,,2025,7,13,4,8,,4,4095,44,53,A1,6.18,13.04,64.71,61.5,3.2,2.0,6.0
0,,2025,7,13,4,8,,5,5411,19,58,B2,1.14,58.82,16.67,0.0,0.0,0.0,0.0
0,,2025,7,13,4,8,,6,4750,38,52,B1,4.87,70.59,25.93,11.1,3.8,0.0,2.0
1830 - 600 + 3*130 = 1620

1,,2025,7,13,4,9,,1,4528,36,53,A1,6.55,33.33,27.27,78.2,3.0,15.0,3.0
0,,2025,7,13,4,9,,2,4133,45,53,A2,5.98,44.44,46.43,26.6,3.5,3.0,1.0
0,,2025,7,13,4,9,,3,4196,43,53,B1,5.37,28.0,17.24,46.6,3.4,1.0,6.0
0,,2025,7,13,4,9,,4,4416,38,56,B1,5.22,40.0,42.86,22.7,3.7,1.0,4.0
0,,2025,7,13,4,9,,5,4769,33,52,A2,5.65,33.33,18.75,14.2,2.1,1.0,1.0
0,,2025,7,13,4,9,,6,5075,29,53,A2,6.59,47.83,34.62,8.3,4.8,1.0,0.0
1620 - 300 + 3*100 = 1620

1,,2025,7,13,4,10,,1,4012,45,59,A2,5.85,42.31,37.5,66.6,2.3,11.0,3.0
0,,2025,7,13,4,10,,2,4809,36,52,A2,6.36,26.09,18.75,40.0,3.5,6.0,2.0
1,,2025,7,13,4,10,,3,4371,38,52,A1,6.48,20.0,12.5,56.2,3.5,2.0,7.0
0,,2025,7,13,4,10,,4,4991,27,52,A2,5.55,17.39,30.43,17.6,3.4,2.0,1.0
0,,2025,7,13,4,10,,5,5177,29,51,B1,3.48,29.17,44.44,11.1,4.7,0.0,2.0
0,,2025,7,13,4,10,,6,4708,36,56,B1,4.39,27.78,52.0,0.0,4.4,0.0,0.0
1620 - 600 + 3*100 = 1320

1,,2025,7,13,4,11,,1,4366,39,56,A1,6.31,35.29,9.09,75.8,2.7,19.0,3.0
0,,2025,7,13,4,11,,2,3811,49,56,A2,6.06,29.41,26.09,52.6,2.2,5.0,5.0
0,,2025,7,13,4,11,,3,4202,42,54,B1,4.32,41.18,23.53,24.1,3.4,1.0,6.0
0,,2025,7,13,4,11,,4,4229,42,53,B1,4.46,18.75,14.29,12.5,4.5,1.0,1.0
0,,2025,7,13,4,11,,5,4305,41,52,A1,7.0,12.5,6.67,8.3,2.9,0.0,1.0
0,,2025,7,13,4,11,,6,4089,44,55,A2,5.95,59.26,40.0,21.4,4.4,0.0,3.0
1320 - 300 + 3*190 = 1590

1,,2025,7,13,4,12,,1,4095,44,53,A1,6.18,13.04,64.71,77.2,2.7,14.0,3.0
0,,2025,7,13,4,12,,2,4308,41,51,A2,6.2,18.18,20.0,41.1,3.5,2.0,5.0
0,,2025,7,13,4,12,,3,4000,48,56,A2,5.81,39.13,44.44,30.7,3.9,3.0,5.0
0,,2025,7,13,4,12,,4,4952,31,54,B1,4.02,25.0,38.89,12.5,3.0,1.0,1.0
0,,2025,7,13,4,12,,5,3904,48,55,B1,5.35,39.13,58.82,12.5,3.8,0.0,3.0
0,,2025,7,13,4,12,,6,3541,57,53,A1,6.67,41.18,43.75,23.8,3.2,0.0,5.0
1590 - 300 + 0 = 1290
