年,月,日,競艇場番号,レース番号,距離,天候,風向き,風速,波高,着,艇,登番,モーター,ボート,展示タイム,進入番号,スタートタイミング,レースタイム
2025,07,09,24,1,1800,雨,北東,5,4,1,5,3784,40,75,6.89,5,0.10,1.51.0
2025,07,09,24,1,1800,雨,北東,5,4,2,6,4948,67,13,6.90,6,0.07,1.52.4
2025,07,09,24,1,1800,雨,北東,5,4,3,1,3211,69,23,6.98,1,0.17,1.54.2
2025,07,09,24,1,1800,雨,北東,5,4,4,4,3527,39,18,6.93,4,0.09,1.55.4
2025,07,09,24,1,1800,雨,北東,5,4,5,3,4252,57,62,6.87,3,0.21,
2025,07,09,24,1,1800,雨,北東,5,4,6,2,3224,36,72,6.93,2,0.16,
2025,07,09,24,2,1800,雨,東,2,1,1,1,4498,54,58,6.90,1,0.32,1.52.1
2025,07,09,24,2,1800,雨,東,2,1,2,2,4268,53,68,6.92,2,0.24,1.53.3
2025,07,09,24,2,1800,雨,東,2,1,3,3,4835,45,70,6.94,3,0.18,1.54.0
2025,07,09,24,2,1800,雨,東,2,1,4,5,4837,41,60,6.96,5,0.13,1.54.1
2025,07,09,24,2,1800,雨,東,2,1,5,4,3998,51,11,6.98,4,0.13,
2025,07,09,24,2,1800,雨,東,2,1,6,6,3414,56,34,6.96,6,0.10,
2025,07,09,24,3,1800,雨,北東,3,2,1,1,3843,62,65,6.96,1,0.06,1.51.0
2025,07,09,24,3,1800,雨,北東,3,2,2,5,4644,12,66,6.99,5,0.10,1.52.0
2025,07,09,24,3,1800,雨,北東,3,2,3,4,4956,63,73,6.99,4,0.17,1.53.5
2025,07,09,24,3,1800,雨,北東,3,2,4,2,5032,44,63,6.92,2,0.11,1.54.8
2025,07,09,24,3,1800,雨,北東,3,2,5,3,3748,37,69,7.03,3,0.16,
2025,07,09,24,3,1800,雨,北東,3,2,6,6,5407,68,22,7.02,6,0.19,
2025,07,09,24,4,1800,雨,南東,1,1,1,1,4684,74,59,6.97,1,0.09,1.51.6
2025,07,09,24,4,1800,雨,南東,1,1,2,4,3777,52,77,7.02,4,0.17,1.52.8
2025,07,09,24,4,1800,雨,南東,1,1,3,6,5044,71,61,7.03,6,0.14,1.54.7
2025,07,09,24,4,1800,雨,南東,1,1,4,2,3381,72,74,6.93,2,0.15,1.55.6
2025,07,09,24,4,1800,雨,南東,1,1,5,5,4822,75,14,7.01,5,0.11,
2025,07,09,24,4,1800,雨,南東,1,1,6,3,4327,43,28,6.99,3,0.11,
2025,07,09,24,5,1800,雨,南,1,1,1,1,3853,11,20,6.93,1,0.26,1.49.8
2025,07,09,24,5,1800,雨,南,1,1,2,5,5307,50,33,6.95,5,0.21,1.51.5
2025,07,09,24,5,1800,雨,南,1,1,3,6,4776,48,19,6.96,6,0.20,1.52.8
2025,07,09,24,5,1800,雨,南,1,1,4,2,4362,15,25,6.94,2,0.16,1.54.1
2025,07,09,24,5,1800,雨,南,1,1,5,4,4872,61,67,7.00,4,0.17,
2025,07,09,24,5,1800,雨,南,1,1,6,3,4006,16,16,7.03,3,0.28,
2025,07,09,24,6,1800,曇り,南,1,1,1,4,4252,57,62,6.99,4,0.14,1.51.6
2025,07,09,24,6,1800,曇り,南,1,1,2,2,4600,66,29,7.05,2,0.17,1.52.5
2025,07,09,24,6,1800,曇り,南,1,1,3,1,3995,46,64,7.00,1,0.22,1.54.1
2025,07,09,24,6,1800,曇り,南,1,1,4,6,5309,70,71,6.98,6,0.21,1.55.6
2025,07,09,24,6,1800,曇り,南,1,1,5,5,3294,64,15,7.04,5,0.10,
2025,07,09,24,6,1800,曇り,南,1,1,6,3,3784,40,75,7.04,3,0.19,
2025,07,09,24,7,1800,曇り,南東,1,1,1,1,4148,14,35,7.00,1,0.08,1.51.8
2025,07,09,24,7,1800,曇り,南東,1,1,2,5,3224,36,72,7.03,5,0.05,1.53.3
2025,07,09,24,7,1800,曇り,南東,1,1,3,3,4666,55,27,7.07,3,0.02,1.54.2
2025,07,09,24,7,1800,曇り,南東,1,1,4,6,4839,58,31,7.03,6,0.09,1.54.3
2025,07,09,24,7,1800,曇り,南東,1,1,5,4,4268,53,68,7.02,4,0.06,
2025,07,09,24,7,1800,曇り,南東,1,1,6,2,3998,51,11,7.07,2,0.09,
2025,07,09,24,8,1800,曇り,北東,2,1,1,4,4327,43,28,6.95,4,0.09,1.51.8
2025,07,09,24,8,1800,曇り,北東,2,1,2,1,4116,49,24,6.96,1,0.25,1.52.6
2025,07,09,24,8,1800,曇り,北東,2,1,3,3,4837,41,60,7.03,3,0.11,1.53.9
2025,07,09,24,8,1800,曇り,北東,2,1,4,5,4956,63,73,7.03,5,0.08,1.55.4
2025,07,09,24,8,1800,曇り,北東,2,1,5,6,3211,69,23,7.03,6,0.07,
2025,07,09,24,8,1800,曇り,北東,2,1,6,2,3748,37,69,7.05,2,0.23,
2025,07,09,24,9,1800,曇り,北東,1,1,1,3,3527,39,18,7.02,3,0.11,1.51.3
2025,07,09,24,9,1800,曇り,北東,1,1,2,1,4948,67,13,6.99,1,0.11,1.51.7
2025,07,09,24,9,1800,曇り,北東,1,1,3,5,4835,45,70,7.00,5,0.13,1.52.9
2025,07,09,24,9,1800,曇り,北東,1,1,4,2,4822,75,14,7.03,2,0.14,1.53.8
2025,07,09,24,9,1800,曇り,北東,1,1,5,6,3843,62,65,7.02,6,0.11,
2025,07,09,24,9,1800,曇り,北東,1,1,6,4,5044,71,61,7.02,4,0.11,
2025,07,09,24,10,1800,曇り,北東,1,1,1,1,4776,48,19,6.96,1,0.12,1.50.3
2025,07,09,24,10,1800,曇り,北東,1,1,2,3,5032,44,63,6.96,3,0.16,1.51.5
2025,07,09,24,10,1800,曇り,北東,1,1,3,5,4362,15,25,6.92,5,0.12,1.52.9
2025,07,09,24,10,1800,曇り,北東,1,1,4,2,4684,74,59,6.96,2,0.17,1.53.9
2025,07,09,24,10,1800,曇り,北東,1,1,5,4,3995,46,64,6.96,4,0.13,
